"id","card_id","merchant","mcc","currency","amount","sgd_amount","transaction_id","transaction_date","card_pan","card_type"
"7ce56f44-659a-453f-8bc4-5a102faada43","0fd148a9-a350-4567-9e6d-d768ab9c1932","Collier","4642","SGD",285.96,0,"07110e8bf85f1a1229eaa5dcbdea68c51d537218143d0021945cfae8861e3efc","2021-08-27","6771-8964-5359-9669","scis_platinummiles"
"33a5dbae-3788-49a0-afd4-daef4609c06b","17cc3eca-c920-4e83-83fd-e1bb9f89ca75","Watsica  Larkin and Marks","2794","USD",54.68,0,"e5c3e5857d4fdd5a7babab333e5076d73961f8fa1bb5f3babf51d5ecd5f88d8f","2021-08-27","4574-1442-4975-2084","scis_shopping"
"f8d8e352-1cc2-451f-99f0-40b28f494403","23432c85-bcca-486e-89d5-86371397d83a","Dicki  Ryan and O","6266","SGD",7609.58,0,"f298df17c368454a4cd1ab7de53127164ac8a731c55c3974108083ea49efff9d","2021-08-27","4690-1401-0548-6055","scis_freedom"
"4c437afa-ffdf-4dae-aba5-b4f1d431f5db","23432c85-bcca-486e-89d5-86371397d83a","Adams Inc","4187","SGD",4.85,0,"ad364802a9924fc046510ad096d3f12de14a57d7fac31bd513f9f32f86128017","2021-08-27","4690-1401-0548-6055","scis_freedom"
"6c86e882-e97f-44b3-af3a-d10730e6c8f5","23432c85-bcca-486e-89d5-86371397d83a","Blanda","4440","SGD",4225.52,0,"322f1c8ad77cb2f76e92077235f261c47e71e37e33193735c8080a50c0543def","2021-08-27","4690-1401-0548-6055","scis_freedom"
"52605e50-9f07-4ed6-b660-4a5c2bf50ab2","c2ef544b-6155-4069-9cd1-04522f3390d6","Ledner","9043","SGD",6.64,0,"9b899a52094112af817ce05dffd8322f0dddfc073bb5d89d39d7479ea0eb76ab","2021-08-27","6771-8930-2496-6410","scis_platinummiles"
"4f4c211c-85b5-4b6e-b1fc-3a433243de5b","c2ef544b-6155-4069-9cd1-04522f3390d6","Metz  Wolf and Rau","6156","USD",3.78,0,"d9180eaa4f6be1b7931471b69671c53a799f8e49841203e31f6f8b000da51d4c","2021-08-27","6771-8930-2496-6410","scis_platinummiles"
"e0a9ec12-2162-48d3-b511-c8588bb70437","c2ef544b-6155-4069-9cd1-04522f3390d6","Satterfield LLC","5141","SGD",6.73,0,"1a25bef6ad04e1203422a8dbe413170dd51498f7f957506be03aa6bb811c30f1","2021-08-27","6771-8930-2496-6410","scis_platinummiles"
"1baa3aea-3d24-4eab-9103-c59ee223be64","138c9f7f-67f2-49dd-855c-f6d43126b260","Reynolds  McDermott and Johns","8883","SGD",7.68,0,"6f2c798955636d6ab4d7358bff937a3afaad92ed95498875c35113a33bfae7c1","2021-08-27","4964460798989","scis_shopping"
"d9078c10-3013-42f8-9c4d-518e8a4e3d59","138c9f7f-67f2-49dd-855c-f6d43126b260","Leuschke","5972","SGD",74.33,0,"61329e7540016190a16acc43fde77c6dbe1fd4e40f9f77cedd678dd39cf61bc7","2021-08-27","4964460798989","scis_shopping"
"efe35c58-54a5-42cf-9f35-672022ed63ef","32a40fec-5ba9-4797-8f9d-6635e7fbf17d","Hintz and Sons","8287","SGD",1052.17,0,"a66970fb4986bd3ed47842cee3fde679073b048c68860fcc69007d63eb350839","2021-08-27","4302218148308","scis_freedom"
"0ecd1ae1-1e7b-4798-b0f4-122fa6a6a8dd","32a40fec-5ba9-4797-8f9d-6635e7fbf17d","Runolfsson and Sons","9163","SGD",20.46,0,"05da03f87ce1c6dc566ac52cffb4e010082a3908d1f3a5e6b2664224642e8012","2021-08-27","4302218148308","scis_freedom"
"ade5c5c8-c62f-4c53-9312-8227f173486d","633de3f1-9771-4dc6-afea-7776cc58d6b7","Schamberger LLC","1463","SGD",32.28,0,"41b87be1b2a0afd4fa2d6336f3c09681f0236d755c5f2f1ecdc59c5d6c2e53c2","2021-08-27","4237219973124","scis_freedom"
"00d4f950-a5c6-41e0-881b-7f627ef70194","4211083d-9175-4530-8b34-90758bc73f57","Beier LLC","4339","SGD",46.81,0,"e32546d8cad4b5231403b0b087d46a2562a7f7494f586032fa71c0e2217a50be","2021-08-27","4555788694635","scis_freedom"
"f5141e86-fbc0-4e88-9388-2dda617bd299","4211083d-9175-4530-8b34-90758bc73f57","Schmidt and Sons","4243","SGD",5.35,0,"8fab11c94267c4cf0c582c8ca17308400db2066b4207ea25cc68d3a0c6a0bf53","2021-08-27","4555788694635","scis_freedom"
"a0090fe2-effd-43d5-9e53-99a3981036c2","4211083d-9175-4530-8b34-90758bc73f57","Satterfield  Hauck and Sipes",,"SGD",830.86,0,"730e5b1c496cdd096fbfa441a09125a5d4f7540d976439aac725726a2862b322","2021-08-27","4555788694635","scis_freedom"
"7e594fe2-86a9-42a7-8132-5df36a80cebb","57fc1e82-ad46-4d1e-8dea-46945f8835bf","Lueilwitz  Rowe and Hegmann",,"USD",2.43,0,"901055a598a6c5c16f9eecd2cfd26d4ce662a87fd14cfd8bcc5e8e4f51fc9cda","2021-08-27","4152879334865","scis_premiummiles"
"e50ef08e-3247-4cc1-887c-e16a16689b2e","57fc1e82-ad46-4d1e-8dea-46945f8835bf","Weber","2106","SGD",6023.96,0,"e2cc45e0b82f718ff8accfb1d9e6d46c32d27026c51ca62198577003ffd51156","2021-08-27","4152879334865","scis_premiummiles"
"89b22cd1-630f-466d-af7a-30b523bec072","57fc1e82-ad46-4d1e-8dea-46945f8835bf","Hammes","6030","SGD",2160.45,0,"b3dc0a51b9e90425fa158639e0690c9251cd0b9a36b7ad5517850f4bb9748933","2021-08-27","4152879334865","scis_premiummiles"
"aebc084c-32de-41ea-845c-4be0fa58dd5f","f532a265-07e7-4569-85c2-12208736bafc","Hamill and Sons","2627","SGD",23.96,0,"37dbfadd5abac69e483c44c03101626aee051eb1ae2e3ae68502973ee5d50edf","2021-08-27","4715-4298-4540-6544","scis_shopping"
"804b3889-04e9-48fa-9141-41a2bc5b9e87","5bd7c482-ec97-43a3-8c9a-9fcf3d3ad2c2","Farrell  Schimmel and Goodwin",,"SGD",79.83,0,"5dcaeb6abcbb6ce114aa5c14c409a983d41a7a3cf23dc995206ae33279b4e860","2021-08-27","4128-0154-4577-6732","scis_premiummiles"
